species,lat,lon,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
Gymnosporia_senegalensis,22.3633,73.1658,27.250000000000057,11.5,0.46399998664855957,370.5,39.35000000000002,14.550000000000011,24.8,28.350000000000023,27.250000000000057,31.950000000000045,21.950000000000045,1036.9,383.8,0.5,147.1,863.6,3.6,130.4,4.9
Gymnosporia_senegalensis,22.3634,73.7312,26.750000000000057,11.100000000000001,0.46700000762939453,354.0,38.450000000000045,14.750000000000057,23.700000000000003,27.650000000000034,26.850000000000023,31.250000000000057,21.750000000000057,1137.9,403.0,0.5,146.70000000000002,952.6,4.3,137.3,5.4
Gymnosporia_senegalensis,22.3822,75.0759,26.850000000000023,11.3,0.43800001144409184,402.5,40.05000000000007,14.350000000000023,25.700000000000003,27.05000000000001,27.850000000000023,32.35000000000002,21.55000000000001,978.2,295.6,1.4000000000000001,138.20000000000002,787.4000000000001,4.6000000000000005,144.0,5.300000000000001
Gymnosporia_senegalensis,22.462,73.5241,23.750000000000057,11.100000000000001,0.4480000019073487,390.1,36.150000000000034,11.350000000000023,24.8,25.250000000000057,23.350000000000023,28.650000000000034,18.250000000000057,1393.4,504.70000000000005,0.5,147.5,1171.1000000000001,5.0,163.9,7.2
Gymnosporia_senegalensis,22.4882,71.168,26.450000000000045,11.8,0.4480000019073487,392.70000000000005,39.25000000000006,12.950000000000045,26.3,29.05000000000001,20.55000000000001,31.05000000000001,20.55000000000001,730.7,283.2,0.4,144.9,582.6,2.4000000000000004,143.3,2.4000000000000004
Gymnosporia_senegalensis,22.5076,73.1084,27.150000000000034,11.5,0.4610000133514405,379.70000000000005,39.35000000000002,14.350000000000023,25.0,28.450000000000045,27.150000000000034,31.950000000000045,21.750000000000057,983.3000000000001,373.8,0.5,149.5,828.5,3.7,115.2,4.800000000000001
Gymnosporia_senegalensis,22.5183,70.0826,26.750000000000057,7.9,0.42500000000000004,312.40000000000003,34.450000000000045,15.950000000000045,18.5,28.450000000000045,21.850000000000023,29.950000000000045,21.850000000000023,655.1,284.90000000000003,0.2,156.5,540.2,1.6,368.70000000000005,1.6
Gymnosporia_senegalensis,22.5335,71.2536,26.750000000000057,11.8,0.4480000019073487,397.5,39.450000000000045,13.150000000000034,26.3,29.350000000000023,20.850000000000023,31.350000000000023,20.850000000000023,692.4000000000001,266.90000000000003,0.4,144.6,552.0,2.2,135.8,2.2
Gymnosporia_senegalensis,22.5353,71.2559,26.750000000000057,11.8,0.4480000019073487,397.5,39.450000000000045,13.150000000000034,26.3,29.350000000000023,20.850000000000023,31.350000000000023,20.850000000000023,692.4000000000001,266.90000000000003,0.4,144.6,552.0,2.2,135.8,2.2
Gymnosporia_senegalensis,22.5383,71.2586,26.750000000000057,11.8,0.4480000019073487,398.0,39.450000000000045,13.150000000000034,26.3,29.250000000000057,20.750000000000057,31.350000000000023,20.750000000000057,697.5,268.6,0.4,144.5,555.8000000000001,2.3000000000000003,136.6,2.3000000000000003
